year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2013,2,LAW30015,1,"M3,Th3",ANH 305,40,36,"[3, 39]",LAW30015.1
2013,2,LAW30033,1,"M4,M5",ANH 305,60,27,"[4, 5]",LAW30033.1
2013,2,LAW30075,1,"Th5,Th6",ANH 305,40,14,"[41, 42]",LAW30075.1
2013,2,LAW40003,1,"Th4,Th5",NTH 310,25,17,"[40, 41]",LAW40003.1
2013,2,LAW40005,1,"M2,Th2",ANH 304,25,7,"[2, 38]",LAW40005.1
2013,2,LAW50005,1,"Th6,Th7",ANH 304,40,14,"[42, 43]",LAW50005.1
2013,2,UIL20010,1,"M6,Th6",ANH 302,40,33,"[6, 42]",UIL20010.1
2013,2,UIL30051,1,"M2,Th2",ANH 305,50,49,"[2, 38]",UIL30051.1
2013,2,UIL30093,1,"M4,M5",NTH 310,10,14,"[4, 5]",UIL30093.1
2013,2,UIL40060,1,"M5,Th5",ANH 304,40,10,"[5, 41]",UIL40060.1
2013,2,UIL40094,1,"M3,Th3",ANH 304,20,7,"[3, 39]",UIL40094.1
2013,2,CSW20001,1,"M3,Th3",NMH 207,40,56,"[3, 39]",CSW20001.1
2013,2,CSW20001,2,"Th3,Th4",HDH 318,40,29,"[39, 40]",CSW20001.2
2013,2,CSW20002,2,"Th3,Th4",NMH 410A,60,46,"[39, 40]",CSW20002.2
2013,2,CSW20012,1,"M1,Th1",HDH 418B,40,75,"[1, 37]",CSW20012.1
2013,2,CSW20015,1,"M6,Th6",HDH 318,40,56,"[6, 42]",CSW20015.1
2013,2,CSW20016,2,"M4,M5",NTH 411,40,34,"[4, 5]",CSW20016.2
2013,2,CSW20055,1,"M4,Th4",HDH 418B,40,44,"[4, 40]",CSW20055.1
2013,2,CSW20065,1,"M2,Th2",HDH 320B,40,46,"[2, 38]",CSW20065.1
2013,2,CSW30010,1,"M3,Th3",OH 402,40,15,"[3, 39]",CSW30010.1
2013,2,CSW30017,1,"M2,Th2",NMH 207,40,34,"[2, 38]",CSW30017.1
2013,2,CSW30017,2,"M2,M3",NTH 411,40,36,"[2, 3]",CSW30017.2
2013,2,CSW30018,1,"M3,Th3",NMH 405,0,35,"[3, 39]",CSW30018.1
2013,2,CSW30019,2,"M4,M5",HDH 320B,60,15,"[4, 5]",CSW30019.2
2013,2,CSW30023,1,"Th7,Th8",OH 402,60,35,"[43, 44]",CSW30023.1
2013,2,CSW30052,1,"M5,Th5",NMH 207,40,42,"[5, 41]",CSW30052.1
2013,2,CSW30055,1,"M2,Th2",ANH 313,40,35,"[2, 38]",CSW30055.1
2013,2,CSW30077,1,"Th5,Th6",OH 402,60,27,"[41, 42]",CSW30077.1
2013,2,CSW40010,2,"M6,Th6",NMH 109,40,14,"[6, 42]",CSW40010.2
2013,2,CSW40015,1,"M5,Th5",HDH 303B,40,30,"[5, 41]",CSW40015.1
2013,2,CSW40054,1,"M7,M8",NMH 207,20,4,"[7, 8]",CSW40054.1
2013,2,CSW40062,1,"M6,Th6",NMH 207,40,38,"[6, 42]",CSW40062.1
2013,2,BFT20005,1,"M3,Th3",NMH 310,40,27,"[3, 39]",BFT20005.1
2013,2,BFT20006,1,"M1,Th1",NMH 307,60,24,"[1, 37]",BFT20006.1
2013,2,BFT20012,1,"M9,Th9",NMH 410B,40,41,"[9, 45]",BFT20012.1
2013,2,BFT20013,1,"M8,Th8",NMH 105,40,43,"[8, 44]",BFT20013.1
2013,2,BFT30007,1,"M2,Th2",NMH 307,60,24,"[2, 38]",BFT30007.1
2013,2,BFT30021,1,"M2,Th2",NMH 310,50,40,"[2, 38]",BFT30021.1
2013,2,BFT30024,1,"M5,Th5",NMH 307,50,25,"[5, 41]",BFT30024.1
2013,2,BFT30029,1,Th2,NMH 309,40,7,[38],BFT30029.1
2013,2,BFT30053,1,"M5,Th5",NMH 310,40,9,"[5, 41]",BFT30053.1
2013,2,BFT30054,1,"M10,Th10",NMH 307,40,14,"[10, 46]",BFT30054.1
2013,2,BFT30056,1,"M8,Th8",NMH 307,40,26,"[8, 44]",BFT30056.1
2013,2,BFT40006,1,"M6,Th6",NMH 310,40,21,"[6, 42]",BFT40006.1
2013,2,BFT40007,1,"M6,Th6",NMH 307,40,18,"[6, 42]",BFT40007.1
2013,2,BFT40010,1,"M4,Th4",NMH 307,60,40,"[4, 40]",BFT40010.1
2013,2,BFT40011,1,"M3,Th3",NMH 307,60,13,"[3, 39]",BFT40011.1
2013,2,ECE10002,1,"M5,Th5",NTH 313,40,56,"[5, 41]",ECE10002.1
2013,2,ECE10002,2,"M4,Th4",NTH 313,1,55,"[4, 40]",ECE10002.2
2013,2,ECE10020,1,"M6,Th6",NTH 412,18,41,"[6, 42]",ECE10020.1
2013,2,ECE20018,1,"M4,Th4",OH 305,40,49,"[4, 40]",ECE20018.1
2013,2,ECE20018,2,"M5,Th5",OH 305,40,51,"[5, 41]",ECE20018.2
2013,2,ECE20053,1,"M3,Th3",NTH 311,40,30,"[3, 39]",ECE20053.1
2013,2,ECE20061,1,"M6,Th6",OH 421,40,17,"[6, 42]",ECE20061.1
2013,2,ECE20063,2,"M8,T3,F3",NTH 413,30,12,"[8, 15, 51]",ECE20063.2
2013,2,ECE30076,1,"M3,M4,Th3,Th4",NTH 413,24,25,"[3, 4, 39, 40]",ECE30076.1
2013,2,ECE30083,1,"M5,Th5",NTH 311,40,28,"[5, 41]",ECE30083.1
2013,2,ECE40026,1,"M2,Th2",NTH 313,40,57,"[2, 38]",ECE40026.1
2013,2,ECE40044,1,"M6,Th6",OH 420,40,42,"[6, 42]",ECE40044.1
2013,2,ITP20001,1,"M6,Th6",NTH 310,40,29,"[6, 42]",ITP20001.1
2013,2,ITP20005,1,"M6,Th6",NTH 313,40,42,"[6, 42]",ITP20005.1
2013,2,ITP30003,1,"M2,Th2",OH 401,56,60,"[2, 38]",ITP30003.1
2013,2,ITP30003,2,"M3,Th3",OH 401,56,56,"[3, 39]",ITP30003.2
2013,2,IID10005,1,"Th2,Th3",NMH 202,25,26,"[38, 39]",IID10005.1
2013,2,IID10005,2,"Th5,Th6",NMH 202,25,28,"[41, 42]",IID10005.2
2013,2,IID20003,3,"Th2,Th3",NMH 204,25,27,"[38, 39]",IID20003.3
2013,2,IID20015,1,"M7,M8",NMH 202,25,30,"[7, 8]",IID20015.1
2013,2,IID20060,1,"M2,M3",NMH 205B,30,18,"[2, 3]",IID20060.1
2013,2,IID20060,2,"M5,M6",NMH 205B,30,11,"[5, 6]",IID20060.2
2013,2,IID20062,1,"M5,M6",NMH 204,30,31,"[5, 6]",IID20062.1
2013,2,IID20062,2,"Th6,Th7",NMH 204,30,33,"[42, 43]",IID20062.2
2013,2,IID20063,2,"Th2,Th3",NMH 208,25,19,"[38, 39]",IID20063.2
2013,2,IID30007,1,"M2,M3",NMH 202,30,27,"[2, 3]",IID30007.1
2013,2,IID30007,2,"M5,M6",NMH 202,30,19,"[5, 6]",IID30007.2
2013,2,IID30008,1,"M2,M3",HDH 402,25,13,"[2, 3]",IID30008.1
2013,2,IID30019,1,Th5,OH 306,50,49,[41],IID30019.1
2013,2,IID30069,1,"Th2,Th3", ,30,8,"[38, 39]",IID30069.1
2013,2,IID30077,1,"Th6,Th7",NTH 212,30,7,"[42, 43]",IID30077.1
2013,2,IID40069,1,"M2,M3",NMH 208,30,17,"[2, 3]",IID40069.1
2013,2,IID50016,1,"M5,M6",NMH 208,30,22,"[5, 6]",IID50016.1
2013,2,IID50019,1,"Th6,Th7",NMH 208,30,42,"[42, 43]",IID50019.1
2013,2,HMM10001,1,"M5,M6,M7",ANH 313,40,67,"[5, 6, 7]",HMM10001.1
2013,2,HMM20042,1,"M2,Th2",ANH 302,80,81,"[2, 38]",HMM20042.1
2013,2,HMM20052,1,"M3,Th3",OH 305,80,77,"[3, 39]",HMM20052.1
2013,2,HMM30009,1,"M3,Th3",NTH 214,80,13,"[3, 39]",HMM30009.1
2013,2,HMM40029,1,"M7,Th7",NTH 214,40,23,"[7, 43]",HMM40029.1
2013,2,HMM40033,1,"M2,Th2",NTH 214,60,15,"[2, 38]",HMM40033.1
2013,2,HMM40040,1,"M1,Th1",NTH 214,60,36,"[1, 37]",HMM40040.1
2013,2,HMM40052,1,"M6,Th6",OH 305,40,48,"[6, 42]",HMM40052.1
2013,2,HMM40053,1,"M5,Th5",NTH 214,40,34,"[5, 41]",HMM40053.1
2013,2,CUE20004,1,"M4,Th4",NTH 212,50,22,"[4, 40]",CUE20004.1
2013,2,CUE20012,1,"M3,Th3",NTH 212,40,40,"[3, 39]",CUE20012.1
2013,2,CUE30001,1,"M5,M6,M7,M8",NTH 211,20,18,"[5, 6, 7, 8]",CUE30001.1
2013,2,CUE30008,1,"M2,Th2",NTH 209A,30,4,"[2, 38]",CUE30008.1
2013,2,CUE30057,1,"M1,Th1",NTH 313,50,23,"[1, 37]",CUE30057.1
2013,2,CUE30058,1,"M5,Th5",NTH 212,30,15,"[5, 41]",CUE30058.1
2013,2,CUE40009,1,"Th5,Th6,Th7,Th8",NTH 220,15,14,"[41, 42, 43, 44]",CUE40009.1
2013,2,CUE40020,1,"M1,Th1",NTH 212,40,23,"[1, 37]",CUE40020.1
2013,2,CUE40056,1,"M2,Th2",NTH 212,50,19,"[2, 38]",CUE40056.1
2013,2,CUE40061,2,"Th5,Th6,Th7,Th8",NTH 215,15,7,"[41, 42, 43, 44]",CUE40061.2
2013,2,CUE40064,1,"M6,M7,M8,M9",NTH 220,15,13,"[6, 7, 8, 9]",CUE40064.1
2013,2,SIE20006,1,"Th8,Th9,Th10",HDH 303A,25,15,"[44, 45, 46]",SIE20006.1
2013,2,SIE30008,1,"M8,M9,M10",HDH 320B,25,13,"[8, 9, 10]",SIE30008.1
2013,2,SIE30012,1,"Th8,Th9,Th10",HDH 303B,25,6,"[44, 45, 46]",SIE30012.1
2013,2,SIE30014,1,"M8,M9,M10",HDH 320A,25,7,"[8, 9, 10]",SIE30014.1
2013,2,SIE30019,1,"Th8,Th9,Th10",HDH 323C,25,2,"[44, 45, 46]",SIE30019.1
2013,2,SIE30023,1,"M8,M9,M10",GLC 305,25,4,"[8, 9, 10]",SIE30023.1
2013,2,SIE40004,1,"M8,M9,M10",HDH 303A,25,16,"[8, 9, 10]",SIE40004.1
2013,2,SIE40005,1,"Th8,Th9,Th10",HDH 320B,25,8,"[44, 45, 46]",SIE40005.1
2013,2,SIE40025,1,"Th8,Th9,Th10",HDH 320A,25,9,"[44, 45, 46]",SIE40025.1
2013,2,SIE40062,1,"M8,M9,M10",HDH 303B,25,4,"[8, 9, 10]",SIE40062.1
