year,semester,subjectCode,num_x,time,classroom,capacity,student_count,time_conv,course,random.ID,num_y
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,NH1hx0lS,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,qPRW8LEI,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,MwS75op2,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,eNlB55Q8,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,DrKg1sMg,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,qPumLX3r,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,tAxCPlYP,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,JsCVt24k,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,vqOw6EOl,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,RacjPVvu,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,hBFOeYLQ,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,mr1ts0Jt,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,kHHmm1Mp,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,ZbbTlALI,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,qehLyK78,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,SOu7ULew,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,HfQ80gAx,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,JtJqIpEy,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,MEngfGI9,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,LjltCOjs,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,e6SZPO4M,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,mN3rBkVo,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,2iiiwS2u,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,vR7g6U73,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,ITncu1Ir,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,Y3yie4aq,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,g2DgGpaV,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,hiWPOtjI,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,RKrHxVa6,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,RXZ6m4Ul,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,AcqNg32X,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,rGdXBiAf,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,GbqrtMYs,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,Tm6CUCAS,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,yDJAamPy,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,UW0ncRtE,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,jYBjYxJv,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,9pWcBQ3m,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,6Z2EvAnM,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,MLKw9kUF,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,O2hJqEQN,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,QR9dlVTV,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,REXqUq18,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,mGMXxyKR,2
2014,1,GEK10057,2,"M1,Th1",NMH 410A,60,61,"[1, 37]",GEK10057.2,YY0Ju2E2,2
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,kiXywAXd,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,qVjrCnrS,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,yfooltYG,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,4WqzTcXO,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,JWsWWFxa,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,SeaCOqCC,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,dUs2VgfY,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,hj0W2KJ4,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,JDwX7Rgn,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,Yqyo5ZuJ,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,1LlEkfhU,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,10oWC1nm,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,DBBYpG0C,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,tf6XPYSV,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,GuwSeW3R,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,lFHaUU6g,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,dW9tzWtt,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,9q2HB3yi,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,cVBQ8ufr,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,84lj496t,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,RF75cebL,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,0VHLpiL3,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,tiFUrAQc,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,I8kqLJFw,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,kt3uOFAZ,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,n2WKMr5V,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,r8R2fDdW,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,w016VrHt,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,tZs08BIZ,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,USaU3MWI,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,PHmOfrtz,3
2014,1,GEK10057,3,"M2,Th2",NMH 405,60,37,"[2, 38]",GEK10057.3,rPM7dUyy,3
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,UkAqr2J0,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,jeAvZX1M,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,oskVzYsd,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,ABXOcZ8H,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,y7BBSCy6,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,OpFsguMc,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,699z1b6V,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,gZYG4xIB,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,zCNOn6pl,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,5kOZQ2SF,2
2014,1,GEK10059,2,"M5,Th5",NMH 410B,60,75,"[5, 41]",GEK10059.2,1gvlULC9,2
