year,semester,subjectCode,num_x,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course,random.ID,num_y
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,6yNmnrry,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,zxaMrg2X,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,nXEvZghU,7
2016,1,GCS10001,7,45,HDH 424,47,"M1,Th1",,,,,,,,,"[1, 37]",GCS10001.7,dcYr2xWX,7
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,ZJ5iYLbI,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,QoB0GDz6,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,2Ris1P9r,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,Cr9Ti1TI,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,Au0T7ETs,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,H89bQXOY,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,Tz2V3JNB,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,cn2pkQwm,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,otsRzdIE,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,zBvFba3M,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,kBLG7kw9,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,WxUZQP9g,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,BxgUB7tl,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,b19BBNAQ,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,qe2LBpAi,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,ch5m2fMe,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,F9UIiFmi,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,kS1YBAux,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,ULZST2VG,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,O2cmcSDI,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,rq1PXMdZ,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,kZtusBin,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,yk2D62Nd,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,0AtizajS,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,lYgeYNzp,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,ESJLpnbj,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,oxcuLBlt,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,BWuoyvfb,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,rbvYLTl2,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,7qfB7Zu1,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,VTDd9WhH,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,lAJ2xT9O,2
2016,1,GCS10002,2,45,HDH 424,49,"M6,Th6",,,,,,,,,"[6, 42]",GCS10002.2,SxcbGBL1,2
