"random.ID","입학일자","교육과정","등록학기","학년","주야","현학적","학과명","성별","전공1","전공2","부전공","비고","공학인증여부"
"ORretO7I",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","공연영상학","","연계",""
"vNCspj0p",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","사회복지학","국제지역학","","연계",""
"3zclXQVC",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","제품디자인","시각디자인","","복수",""
"j4ew7Qql",20150301,NA,3,2,"주간","입학","생명과학부","남","생명과학(66)","","","",""
"TyKZmZOb",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학심화","","","","공학인증"
"yrtGf8EG",20150301,NA,3,2,"주간","입학","전산전자공학부","여","전자공학심화","","","","공학인증"
"bjPcjraZ",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"wf7VFrsi",20150301,NA,3,2,"주간","입학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"yiz2V6g4",20150301,NA,3,2,"주간","입학","법학부","남","US and International Law","경영학","","연계",""
"aMJntvTo",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","언론정보학","","연계",""
"h5YjgaGI",20150301,NA,3,2,"주간","입학","언론정보문화학부","여","공연영상학","컴퓨터공학","","연계",""
"iSSniyRc",20150301,NA,3,2,"주간","입학","전산전자공학부","남","컴퓨터공학","전자공학","","복수",""
"36NeZ9HM",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","생명과학(33)","","연계",""
"WP7IJT3R",20150301,NA,3,2,"주간","입학","법학부","남","한국법","US and International Law","","복수",""
"AZcEduqn",20150301,NA,2,1,"주간","일반휴학","법학부","남","한국법","기계공학","","연계",""
"fk7yLG6s",20150301,NA,1,1,"주간","군입대휴학","글로벌리더십학부","남","","","","",""
"x9oWNGp2",20150301,NA,2,1,"주간","군입대휴학","생명과학부","남","생명과학(66)","","","",""
"hm48lUiE",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(66)","","","",""
"6KjAat10",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"8spbqEgf",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","제품디자인","시각디자인","","복수",""
"cy2J5NLX",20150301,NA,2,1,"주간","복학","글로벌리더십학부","여","","","","",""
"kojMLcLL",20150301,NA,3,2,"주간","입학","생명과학부","남","생명과학(66)","","","",""
"bkYF3UuF",20150301,NA,2,1,"주간","군입대휴학","국제어문학부","남","국제지역학","상담심리학","","연계",""
"BjfLzMm1",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","남","상담심리학","컴퓨터공학","","연계",""
"HigN3q8J",20150301,NA,2,1,"주간","군입대휴학","전산전자공학부","남","컴퓨터공학","Global Entrepreneurship","","연계",""
"QS1C2tol",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","ICT융합","","연계",""
"hpgrNlzP",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"ImbCNTfs",20150301,NA,2,1,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"6ZZTtbvp",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","시각디자인","","연계",""
"2Fl0Qvqy",20150301,NA,3,2,"주간","입학","국제어문학부","여","국제지역학","사회복지학","","연계",""
"6S0mTAis",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","컴퓨터공학","","연계",""
"BA9PQBAP",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","US and International Law","","연계",""
"KCPbZ68M",20150301,NA,2,1,"주간","일반휴학","법학부","여","한국법","도시환경공학","","연계",""
"raK3DU73",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","건설공학","제품디자인","","연계",""
"I7VsiHkr",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"pKm3r7Mh",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","컴퓨터공학","","연계",""
"MAPvqqJU",20150301,NA,2,1,"주간","일반휴학","법학부","남","한국법","US and International Law","","복수",""
"cILmdMhK",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","남","상담심리학","언론정보학","","연계",""
"NW4ZKYvJ",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"lwSvdSKP",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"HW5Eh31c",20150301,NA,2,1,"주간","군입대휴학","전산전자공학부","남","전자공학심화","","","","공학인증"
"8IDqz7uJ",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","도시환경공학","건설공학","","복수",""
"HZ87ubZT",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"NIVSuqkR",20150301,NA,3,2,"주간","입학","콘텐츠융합디자인학부","여","시각디자인","Global Entrepreneurship","","연계",""
"NDbTkknU",20150301,NA,3,2,"주간","입학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"633vpZDq",20150301,NA,2,1,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"ZRXQ5BjR",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"yPDSIkvq",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","사회복지학","상담심리학","","복수",""
"J67qv88c",20150301,NA,2,1,"주간","복학","글로벌리더십학부","여","","","","",""
"pN02BNOS",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(45)","","상담심리학","",""
"yDJtTSMQ",20150301,NA,2,1,"주간","일반휴학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"H24ST15w",20150301,NA,3,2,"주간","입학","생명과학부","남","생명과학(66)","","","",""
"3ACPYIUg",20150301,NA,2,1,"주간","복학","글로벌리더십학부","여","","","","",""
"HMu3ueos",20150301,NA,3,2,"주간","입학","기계제어공학부","여","기계공학","전자제어공학","","복수",""
"VOnho2yO",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"b8e44lPG",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학심화","","","","공학인증"
"unW8du4Y",20150301,NA,2,1,"주간","군입대휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"6HVzWsCk",20150301,NA,3,2,"주간","입학","경영경제학부","여","경영학","상담심리학","","연계",""
"QZrIxcKl",20150301,NA,2,1,"주간","군입대휴학","콘텐츠융합디자인학부","남","시각디자인","제품디자인","","복수",""
"BGTtLjI7",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
"z9CL4Y8H",20150301,NA,2,1,"주간","일반휴학","콘텐츠융합디자인학부","여","시각디자인","제품디자인","","복수",""
"NjYjD3TN",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학","전자공학","","복수",""
"s3TRHcEg",20150301,NA,2,1,"주간","군입대휴학","상담심리사회복지학부","남","상담심리학","사회복지학","","복수",""
"pTarlZHC",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학","경영학","","연계",""
"af0YYHSV",20150301,NA,3,2,"주간","입학","공간환경시스템공학부","여","건설공학","도시환경공학","","복수",""
"Z1BZiMQW",20150301,NA,3,2,"주간","입학","전산전자공학부","여","컴퓨터공학","경영학","","연계",""
"RYhRygLs",20150301,NA,3,2,"주간","입학","법학부","여","한국법","상담심리학","","연계",""
"CwopKUvj",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(45)","","컴퓨터공학","",""
"pMrPW2Vx",20150301,NA,3,2,"주간","입학","법학부","여","US and International Law","경영학","","연계",""
"NvYShXfr",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","영어","","연계",""
"SpSchr7i",20150301,NA,3,2,"주간","입학","경영경제학부","여","Global Management","Visual Communication Design","","연계",""
"PhO4PgQ8",20150301,NA,3,2,"주간","입학","국제어문학부","남","국제지역학","US and International Law","","연계",""
"3yknorrn",20150301,NA,3,2,"주간","입학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"HBPcYNcg",20150301,NA,3,2,"주간","입학","생명과학부","여","생명과학(33)","상담심리학","","연계",""
"Ddh4QKpY",20150301,NA,3,2,"주간","입학","법학부","남","US and International Law","국제지역학","","연계",""
"PBN43IXJ",20150301,NA,3,2,"주간","입학","법학부","여","한국법","언론정보학","","연계",""
"2srryCw0",20150301,NA,2,1,"주간","일반휴학","기계제어공학부","남","기계공학","전자제어공학","","복수",""
"JBi2aLR3",20150301,NA,3,2,"주간","입학","상담심리사회복지학부","여","상담심리학","사회복지학","","복수",""
