학번,입학일자,교육과정,등록학기,학년,주야,현학적,학과명,성별,전공1,전공2,부전공,비고,공학인증여부
21300203,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,국제지역학,,연계,
21300204,20130301,140,2,1,주간,군입대휴학,국제어문학부,남,국제지역학,경제학,,연계,
21300205,20130301,140,7,4,주간,입학,생명과학부,여,생명과학(66),,,,
21300206,20130301,140,5,3,주간,일반휴학,전산전자공학부,남,전자공학심화,,,,공학인증
21300207,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,경제학,,복수,
21300208,20130301,140,3,2,주간,복학,기계제어공학부,남,전자제어공학,기계공학,,복수,
21300209,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300210,20130301,140,3,2,주간,복학,전산전자공학부,남,전자공학심화,,,,공학인증
21300211,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,시각디자인,,연계,
21300212,20130301,140,7,4,주간,입학,전산전자공학부,여,컴퓨터공학,경영학,,연계,
21300213,20130301,140,3,2,주간,복학,경영경제학부,남,경영학,경제학,,복수,
21300214,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,제품디자인,시각디자인,,복수,
21300215,20130301,140,6,3,주간,복학,상담심리사회복지학부,여,상담심리학,사회복지학,,복수,
21300216,20130301,140,6,3,주간,일반휴학,언론정보문화학부,여,언론정보학,한국법,,연계,
21300217,20130301,140,0,1,주간,제적,글로벌리더십학부,여,,,,,
21300218,20130301,140,7,4,주간,입학,경영경제학부,여,경영학,경제학,,복수,
21300219,20130301,140,7,4,주간,입학,콘텐츠융합디자인학부,여,시각디자인,공연영상학,,연계,
21300220,20130301,140,7,4,주간,입학,법학부,여,US and International Law,국제지역학,,연계,
21300221,20130301,140,7,4,주간,입학,경영경제학부,남,Global Management,Global Entrepreneurship,,연계,
21300222,20130301,140,7,4,주간,입학,기계제어공학부,남,기계공학,전자제어공학,,복수,
21300223,20130301,140,4,2,주간,군입대휴학,언론정보문화학부,남,언론정보학,상담심리학,,연계,
21300224,20130301,130,6,3,주간,복학,경영경제학부,여,경영학,경제학,,복수,
21300225,20130301,140,4,2,주간,군입대휴학,전산전자공학부,남,Information Technology,경제학,,연계,
21300226,20130301,140,4,2,주간,군입대휴학,경영경제학부,남,경영학,컴퓨터공학,,연계,
21300227,20130301,140,4,2,주간,일반휴학,법학부,여,US and International Law,상담심리학,,연계,
21300228,20130301,140,7,4,주간,입학,기계제어공학부,여,기계공학,전자제어공학,,복수,
