year,semester,subjectCode,num,time,classroom,capacity,student_count,time_conv,course
2013,1,MEC30066,2,"T3,F3",NMH 310,35,43,"[15, 51]",MEC30066.2
2013,1,MEC30068,1,"T5,F5",NMH 105,40,53,"[17, 53]",MEC30068.1
2013,1,MEC30069,1,"T6,F6",NMH 103A,40,39,"[18, 54]",MEC30069.1
2013,1,MEC30072,1,"T4,F4",NMH 107,40,39,"[16, 52]",MEC30072.1
2013,1,MEC30074,2,"T3,F3",NMH 110,40,38,"[15, 51]",MEC30074.2
2013,1,MEC40055,2,"T5,F5",NMH 103A,35,15,"[17, 53]",MEC40055.2
2013,1,MEC40058,1,"T1,F1",NMH 103A,40,7,"[13, 49]",MEC40058.1
2013,1,MEC40080,1,"T3,F3",NMH 103A,40,7,"[15, 51]",MEC40080.1
2013,1,LAW20003,1,"T2,F2",ANH 305,80,82,"[14, 50]",LAW20003.1
2013,1,LAW20008,1,"T3,F3",ANH 302,80,66,"[15, 51]",LAW20008.1
2013,1,LAW20009,1,"T5,F5",ANH 302,80,61,"[17, 53]",LAW20009.1
2013,1,LAW30009,1,"T5,T6",ANH 304,35,3,"[17, 18]",LAW30009.1
2013,1,LAW30014,1,"T3,F3",ANH 305,35,35,"[15, 51]",LAW30014.1
2013,1,LAW30071,1,"T5,F5",ANH 305,30,11,"[17, 53]",LAW30071.1
2013,1,LAW40025,1,"T6,T7",ANH 305,30,8,"[18, 19]",LAW40025.1
2013,1,UIL20011,1,"T4,F4",ANH 305,60,63,"[16, 52]",UIL20011.1
2013,1,UIL20012,1,"T2,F2",ANH 304,40,42,"[14, 50]",UIL20012.1
2013,1,UIL30011,1,"T2,F2",NTH 212,40,11,"[14, 50]",UIL30011.1
2013,1,UIL40075,1,"T5,T6",NTH 213,30,11,"[17, 18]",UIL40075.1
2013,1,UIL40092,1,"T5,F5",NTH 311,40,3,"[17, 53]",UIL40092.1
2013,1,UIL40094,1,"T3,F3",ANH 304,40,21,"[15, 51]",UIL40094.1
