Source course,Dest course,Count
GEK20033.1,GCS10039.2,2
ECE20051.3,GCS20001.2,2
ECE20051.3,ECE20010.2,18
ECE20051.3,GEK10090.1,2
ECE20051.3,GCS10037.3,2
ECE20051.3,GEK30030.1,2
ECE20051.3,GCS20001.11,2
ECE20051.3,GCS10011.1,10
CSW20012.2,GCS10053.2,2
CSW20012.2,GCS20001.12,4
CSW20012.2,CCE32001.1,1
CSW20012.2,GCS10037.4,2
CSW20012.2,CCC30094.1,3
CCC20053.1,GEK20058.5,2
CCC20053.1,GEK20063.4,4
CCC20053.1,GCS10028.1,4
CCC20053.1,GEA20053.1,2
CCC20053.1,GCS10033.2,2
CCC20053.1,GCS10002.7,2
CCC20053.1,GCS10039.2,2
CCC20053.1,GCS10053.4,2
ECE30021.2,ECE20060.1,1
ECE30021.1,GCS20001.13,2
ECE30021.1,GEK30015.2,2
IID10004.3,GEK20058.6,2
IID10004.3,LAW20003.1,1
IID10004.3,GCS10062.8,1
IID10004.3,MEC10002.2,1
IID10004.3,BFT20002.1,2
ISE20074.1,ISE20072.1,1
CCC40050.1,CCC30094.1,1
IID20006.2,GEA20004.1,1
IID20006.2,GCS10053.6,1
IID20006.2,MEC10002.2,1
IID30068.1,IID20055.2,1
GCS10037.9,GCS10002.1,1
GEK10059.1,GCS10062.3,4
GEK10059.1,GCS10039.2,2
GEK10059.1,GCS10028.1,2
GEK10059.1,GCS10033.2,2
GEK10059.1,GCS10002.7,4
UIL30015.1,ISE40075.1,1
UIL30015.1,ISE20072.1,1
UIL30015.1,MEC20055.4,2
CCE22001.1,GEK20042.2,6
GEK20058.3,GCS10037.8,4
GEK20058.3,GEK10088.1,3
GEK20058.3,GCS10037.4,6
GEK20058.3,GCS10062.4,2
GEE20034.1,GCS20006.2,6
GEE20034.1,GCS20001.11,2
GEE20034.1,GCS20002.13,2
GEK10030.1,GCS20001.2,2
GEK10030.1,GCS20001.11,2
GEK10030.1,GCS20002.13,2
GEK10030.1,GCS20006.2,2
GEK10030.1,GCS20002.10,2
GEK10030.1,GCS10037.3,6
GEK10030.1,GCS10001.2,8
GEK10030.1,GCS10037.12,2
GEK10030.1,GCS10062.3,2
GEK10030.1,GCS10002.7,8
GEK10030.1,GCS10041.2,1
GEK10030.1,GCS10062.9,4
GEK10030.1,GCS10039.2,2
ECE30051.1,GCS10037.12,2
ECE30051.1,GEK30030.1,2
ECE30051.1,GCS20001.11,2
ECE30051.1,GCS10011.1,2
GEK10055.2,GCS10062.9,4
GEK10055.2,GCS10053.4,2
GEK10055.2,GCS10001.2,14
GEK10055.2,GCS10033.2,2
GEK10055.2,GCS10002.7,6
ISE30015.1,CCE32001.1,1
ISE30015.1,GEK10088.1,1
ISE30015.1,ISE20072.1,1
ISE30015.1,ISE20081.1,1
GEK10055.1,GEE20034.1,2
GEK10055.1,GEK10030.1,4
