년도,학기,학과명,과목코드,과목명,분반,주야,이수구분명,교수성명,학점,수강정원,개설여부,강의실명,수강인원,수업시간,성적평가방식구분,영의강의여부,학년,코드쉐어링과목코드,코드쉐어링분반,코드쉐어링되어진과목,코드쉐어링수강여부,비고,개설세부,인정영역구분,인정영역구분명
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,11,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,12,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,13,주간,교양선택필수,Mark H. Buzby,3,20,Y,GLC 301,20,"화6,금6",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,14,주간,교양선택필수,우진하,3,20,Y,GLC 304,20,"화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20001,English Reading and Discussion,15,주간,교양선택필수,우진하,3,20,Y,GLC 304,20,"화5,금5",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,9,주간,교양선택필수,Richard M. Hamm,3,0,Y,GLC 202,20,"화1,금1",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,10,주간,교양선택필수,Alex D. Bishop,3,20,Y,GLC 305,13,"화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,11,주간,교양선택필수,Jeremy D. Knapp,3,19,Y,GLC 305,19,"화1,금1",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,12,주간,교양선택필수,Jeremy D. Knapp,3,0,Y,GLC 305,19,"화2,금2",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,13,주간,교양선택필수,Megan J. Cawood,3,20,Y,GLC 202,19,"화3,금3",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,14,주간,교양선택필수,Megan J. Cawood,3,20,Y,GLC 202,17,"화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,15,주간,교양선택필수,Amber Hope Montuori,3,20,Y,GLC 302,19,"화4,금4",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20002,English Grammar and Composition,16,주간,교양선택필수,Amber Hope Montuori,3,20,Y,GLC 302,18,"화5,금5",일반과목,Y,2,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GCS20006,데이타베이스활용,1,주간,교양선택필수,류정필,2,45,Y,OH 302,49,"화2,금2",일반과목,N,2,,,,N,전학년 동시 수강신청,,W59,소프트웨어활용
2016,1,글로벌리더십학부,GCS20006,데이타베이스활용,2,주간,교양선택필수,류정필,2,45,Y,OH 302,51,"화3,금3",일반과목,N,2,,,,N,전학년 동시 수강신청,,W59,소프트웨어활용
2016,1,글로벌리더십학부,GCS20009,하이브리드웹 설계,1,주간,교양선택필수,김군오,2,30,Y,HDH 424,43,"화5,금5",일반과목,N,2,,,,N,전학년 동시 수강신청 / 온라인.오프라인 수업 병행 / 인터넷활용 동일과목,,W59,소프트웨어활용
2016,1,글로벌리더십학부,GCS30009,EAP-Life Science,1,주간,교양선택필수,Alexander Banks,3,20,Y,GLC 101,20,"화6,금6",일반과목,Y,3,,,,N,,,W32,영어1
2016,1,글로벌리더십학부,GEE20034,Cross-Cultural Global Perspectives,1,주간,교양선택필수,Michael Fowler,3,40,Y,OH 402,60,"화2,금2",일반과목,Y,1,,,,N,,,W28,사회과학
2016,1,글로벌리더십학부,GEK10021,생활체육 1,1,주간,교양선택,지승원,1,30,Y, ,29,화7,성적만P/F나감,N,1,,,,N,태권도 / 강의실 : CCR,,W31,스포츠
2016,1,글로벌리더십학부,GEK10021,생활체육 1,4,주간,교양선택,김구현,1,18,Y,HDH 418B,14,금5,성적만P/F나감,N,1,,,,N,조정 / 강의실: 1~5주차 사용 / 야외실기 수업위주의 강의편성,1,W31,스포츠
2016,1,글로벌리더십학부,GEK10021,생활체육 1,5,주간,교양선택,김선숙,1,20,Y, ,20,"금8,금9",성적만P/F나감,N,1,,,,N,"
탁구 / 강의실 : 로뎀관 탁구장",,W31,스포츠
2016,1,글로벌리더십학부,GEK10021,생활체육 1,7,주간,교양선택,이록우,1,20,Y,SU 101,20,"금8,금9",성적만P/F나감,N,1,,,,N,"축구 / 19:30~22:00 (100분 수업) / 강의장소: 평봉필드 (악천우 시, 학생회관 101호)",,W31,스포츠
2016,1,글로벌리더십학부,GEK10030,철학개론,1,주간,교양선택필수,손화철,3,120,Y,OH 405,138,"화2,금2",일반과목,Y,1,,,,N,각 학년 30명,,W27,인문학
2016,1,글로벌리더십학부,GEK10041,심리학개론,4,주간,교양선택,박명준,3,50,Y,OH 420,14,"화2,화3",일반과목,N,1,,,,N,,,W18,전공기초
2016,1,글로벌리더십학부,GEK10055,물리학 1,1,주간,교양선택필수,조현지,3,60,Y,HDH 418B,57,"화1,금1",일반과목,N,1,,,,N,1학년 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10055,물리학 1,2,주간,교양선택필수,조현지,3,60,Y,HDH 418B,73,"화2,금2",일반과목,N,1,,,,N,1학년 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10058,일반화학,1,주간,교양선택필수,황철원,3,0,Y,NMH 410A,54,"화6,금6",일반과목,N,1,GEK10058,1,D,N,고등학교 때 화학을 배우지 않은 학생들 우선수강,,W29,자연과학
2016,1,글로벌리더십학부,GEK10059,환경과 인간,1,주간,교양선택필수,황철원,3,60,Y,NMH 410A,60,"화2,금2",일반과목,N,1,,,,N,,,W56,융복합
