year,semester,subjectCode,num,capacity,classroom,student_count,time,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,time_conv,course
2016,1,MEC20057,2,30,NMH 102B,27,"T6,T7",,,,,,,,,"[18, 19]",MEC20057.2
2016,1,MEC20057,3,30,NMH 102B,19,"T1,F1",,,,,,,,,"[13, 49]",MEC20057.3
2016,1,MEC20058,2,40,NMH 103A,28,"T3,F3",,,,,,,,,"[15, 51]",MEC20058.2
2016,1,MEC20059,3,40,NMH 106,37,"T5,F5",,,,,,,,,"[17, 53]",MEC20059.3
2016,1,MEC30002,1,60,NMH 105,51,"T5,F5",,,,,,,,,"[17, 53]",MEC30002.1
2016,1,MEC30003,1,40,NMH 106,50,"T1,F1",,,,,,,,,"[13, 49]",MEC30003.1
2016,1,MEC30010,1,40,NMH 103A,46,"T5,T6",,,,,,,,,"[17, 18]",MEC30010.1
2016,1,MEC30053,1,40,NMH 307,38,"T5,F5",,,,,,,,,"[17, 53]",MEC30053.1
2016,1,MEC30068,2,40,NMH 109,35,"T2,F2",,,,,,,,,"[14, 50]",MEC30068.2
2016,1,MEC30072,1,40,NMH 107,57,"T2,F2",,,,,,,,,"[14, 50]",MEC30072.1
2016,1,MEC30074,1,40,NMH 103A,40,"T1,F1",,,,,,,,,"[13, 49]",MEC30074.1
2016,1,MEC40010,1,40,NMH 310,15,"T2,F2",,,,,,,,,"[14, 50]",MEC40010.1
2016,1,LAW20003,1,80,ANH 302,87,"T4,F4",,,,,,,,,"[16, 52]",LAW20003.1
2016,1,LAW20008,1,80,ANH 302,83,"T3,F3",,,,,,,,,"[15, 51]",LAW20008.1
2016,1,LAW20009,1,80,OH 305,82,"T2,F2",,,,,,,,,"[14, 50]",LAW20009.1
2016,1,LAW30009,1,40,ANH 304,9,"F4,F5",,,,,,,,,"[52, 53]",LAW30009.1
2016,1,LAW30014,1,40,ANH 304,17,"T2,F2",,,,,,,,,"[14, 50]",LAW30014.1
2016,1,LAW30071,1,40,ANH 305,25,"T5,F5",,,,,,,,,"[17, 53]",LAW30071.1
2016,1,LAW30072,1,40,ANH 305,34,"T3,F3",,,,,,,,,"[15, 51]",LAW30072.1
2016,1,UIL30014,1,50,ANH 305,33,"T2,F2",,,,,,,,,"[14, 50]",UIL30014.1
2016,1,UIL30015,1,25,ANH 304,23,"T3,F3",,,,,,,,,"[15, 51]",UIL30015.1
2016,1,UIL30051,1,60,ANH 305,45,"T1,F1",,,,,,,,,"[13, 49]",UIL30051.1
2016,1,UIL40015,1,40,ANH 302,8,"F5,F6",,,,,,,,,"[53, 54]",UIL40015.1
2016,1,UIL40016,1,40,ANH 304,11,"F6,F7",,,,,,,,,"[54, 55]",UIL40016.1
2016,1,UIL40064,1,40,ANH 302,17,"T5,T6",,,,,,,,,"[17, 18]",UIL40064.1
2016,1,CSW20012,1,60,NMH 207,60,"T2,F2",,,,,,,,,"[14, 50]",CSW20012.1
2016,1,CSW20012,2,60,NMH 207,60,"T3,F3",,,,,,,,,"[15, 51]",CSW20012.2
2016,1,CSW20015,1,60,OH 402,42,"T4,T5",,,,,,,,,"[16, 17]",CSW20015.1
2016,1,CSW20021,1,69,HDH 318,69,"T1,F1",,,,,,,,,"[13, 49]",CSW20021.1
2016,1,CSW20054,1,130,OH 405,130,"T3,F3",,,,,,,,,"[15, 51]",CSW20054.1
2016,1,CSW20064,1,40,HDH 320B,39,"T6,F6",,,,,,,,,"[18, 54]",CSW20064.1
2016,1,CSW20079,1,80,OH 402,66,"T1,F1",,,,,,,,,"[13, 49]",CSW20079.1
2016,1,CSW20085,1,40,HDH 403,39,"T4,F4",,,,,,,,,"[16, 52]",CSW20085.1
2016,1,CSW30008,1,40,HDH 320B,38,"T2,F2",,,,,,,,,"[14, 50]",CSW30008.1
